person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
1863,"Boykins, Earl",Earl Boykins,f,1998,2011,earl_boykins,Y,Guard,,,,,5,5,5.4,133,13,6,Eastern Michigan,USA,Eastern Michigan/USA
77031,"Hirsch, Mel",Mel Hirsch,f,1946,1946,HISTADD_mel_hirsch,Y,Guard,,,,,5,6,5.5,165,0,3,Brooklyn,USA,Brooklyn College/USA
24,"Jennings, Keith",Keith Jennings,f,1992,1994,keith_jennings,Y,Guard,,,,,5,7,5.6,160,2,2,East Tennessee State,USA,East Tennessee State/USA
285,"Grant, Greg",Greg Grant,f,1989,1995,greg_grant,Y,Guard,1989,2,,,5,7,5.6,140,5,9,College of New Jersey,USA,Morris Brown; Trenton State/USA
77284,"Klotz, Herm",Herm Klotz,f,1947,1947,HISTADD_red_klotz,Y,Guard,,,,,5,7,5.6,150,0,,Villanova,USA,Villanova/USA
77613,"Misaka, Wat",Wat Misaka,f,1947,1947,HISTADD_wat_misaka,Y,Guard,1947,,,,5,7,5.6,150,0,15,Utah,USA,Utah/USA
78361,"Towe, Monte",Monte Towe,f,1976,1976,HISTADD_monte_towe,Y,Guard,1975,4,,,5,7,5.6,150,0,13,North Carolina State,USA,North Carolina State/USA
76471,"Criss, Charlie",Charlie Criss,f,1977,1984,HISTADD_charlie_criss,Y,Guard,,,,,5,8,5.7,165,7,14,New Mexico State,USA,New Mexico JC; New Mexico State/USA
77471,"Martin, Donald",Donald Martin,f,1946,1947,HISTADD_dino_martin,Y,Guard,,,,,5,8,5.7,160,1,,Georgetown,USA,Georgetown/USA
78219,"Somerset, Willie",Willie Somerset,f,1965,1965,HISTADD_willie_somerset,Y,Guard,1965,7,,,5,8,5.7,170,0,24,Duquesne,USA,Duquesne/USA
149,"Adams, Michael",Michael Adams,f,1985,1995,michael_adams,Y,Guard,1985,3,,,5,10,5.8,165,10,23,Boston College,USA,Boston College/USA
721,"Edney, Tyus",Tyus Edney,f,1995,2000,tyus_edney,Y,Guard,1995,2,,,5,10,5.8,166,3,2,UCLA,USA,UCLA/USA
757,"Stoudamire, Damon",Damon Stoudamire,f,1995,2007,damon_stoudamire,Y,Guard,1995,1,,,5,10,5.8,171,13,3,Arizona,USA,Arizona/USA
1010,"Woods, Randy",Randy Woods,f,1992,1995,randy_woods,Y,Guard,1992,1,,,5,10,5.8,185,3,10,La Salle,USA,La Salle/USA
1510,"Knight, Brevin",Brevin Knight,f,1997,2008,brevin_knight,Y,Guard,1997,1,,,5,10,5.8,166,12,2,Stanford,USA,Stanford/USA
1612,"Garner, Chris",Chris Garner,f,1997,2000,chris_garner,Y,Guard,,,,,5,10,5.8,156,2,2,Memphis,USA,Memphis/USA
2064,"El-Amin, Khalid",Khalid El-Amin,f,2000,2002,khalid_el-amin,Y,Guard,2000,2,,,5,10,5.8,200,1,11,Connecticut,USA,Connecticut ''01/USA
76071,"Aubuchon, Chet",Chet Aubuchon,f,1946,1946,HISTADD_chet_aubuchon,Y,Guard,,,,,5,10,5.8,137,0,,Michigan State,USA,Michigan State/USA
76126,"Baumholtz, Frankie",Frankie Baumholtz,f,1946,1946,HISTADD_frankie_baumholtz,Y,Guard,,,,,5,10,5.8,170,0,,Ohio,USA,Ohio U./USA
76131,"Beard, Ralph",Ralph Beard,f,1949,1950,HISTADD_ralph_beard,Y,Guard,1949,2,,,5,10,5.8,175,1,,Kentucky,USA,Kentucky/USA
76335,"Calverley, Ernie",Ernie Calverley,f,1946,1948,HISTADD_ernie_calverley,Y,Guard,,,,,5,10,5.8,145,2,,Rhode Island,USA,Rhode Island/USA
76340,"Carl, Howie",Howie Carl,f,1961,1961,HISTADD_howie_carl,Y,Guard,1961,5,,,5,9,5.8,160,0,10,DePaul,USA,Illinois; DePaul/USA
76438,"Cook, Bobby",Bobby Cook,f,1949,1949,HISTADD_cookie_cook,Y,Guard,1948,,,,5,10,5.8,155,0,,Wisconsin,USA,Wisconsin/USA
76511,"Darrow, Jimmy",Jimmy Darrow,f,1961,1961,HISTADD_jimmy_darrow,Y,Guard,1960,5,,,5,10,5.8,170,0, ,Bowling Green,USA,Bowling Green State/USA
76738,"Forman, Donnie",Donnie Forman,f,1948,1948,HISTADD_donnie_forman,Y,Guard,,,,,5,10,5.8,175,0,22,New York University,USA,N.Y.U./USA
76967,"Hassett, Billy",Billy Hassett,f,1949,1950,HISTADD_billy_hassett,Y,Guard,,,,,5,10,5.8,180,1,,Notre Dame,USA,Georgetown; Notre Dame/USA
77011,"Hertzberg, Sidney",Sidney Hertzberg,f,1946,1950,HISTADD_sonny_hertzberg,Y,Guard,,,,,5,10,5.8,175,4,4,City College of New York,USA,CCNY/USA
77035,"Hoefer, Adolph",Adolph Hoefer,f,1946,1947,HISTADD_charlie_hoefer,Y,Guard,,,,,5,9,5.8,158,1,3,Queens (NY),USA,Queens College/USA
77050,"Holzman, Red",Red Holzman,f,1948,1953,HISTADD_red_holzman,Y,Guard,,,,,5,10,5.8,175,5,10,City College of New York,USA,Baltimore; CCNY/USA
77077,"Hughes, Eddie",Eddie Hughes,f,1987,1989,HISTADD_eddie_hughes,Y,Guard,1982,7,,,5,10,5.8,165,2,1,Colorado State,USA,Colorado State/USA
77098,"Iuzzolino, Mike",Mike Iuzzolino,f,1991,1992,HISTADD_mike_iuzzolino,Y,Guard,1991,2,,,5,10,5.8,175,1,13,Saint Francis (PA),USA,Penn State; St. Francis (PA)/USA
77222,"Kappen, Tony",Tony Kappen,f,1946,1946,HISTADD_tony_kappen,Y,Guard,,,,,5,10,5.8,165,0,,,USA,No College/USA
77447,"Malamed, Lionel",Lionel Malamed,f,1948,1948,HISTADD_lionel_malamed,Y,Guard,,,,,5,9,5.8,150,0,,City College of New York,USA,CCNY/USA
77453,"Mangiapane, Frank",Frank Mangiapane,f,1946,1946,HISTADD_frank_mangiapane,Y,Guard,,,,,5,10,5.8,195,0,5,New York University,USA,N.Y.U./USA
77480,"Martin, Slater",Slater Martin,f,1949,1959,HISTADD_slater_martin,Y,Guard,,,,,5,10,5.8,170,10,22,Texas,USA,Texas/USA
77482,"Masino, Al",Al Masino,f,1952,1953,HISTADD_al_masino,Y,Guard,,,,,5,10,5.8,174,1,12,Canisius,USA,Canisius/USA
77514,"McConnell, Paul",Paul McConnell,f,1952,1952,HISTADD_bucky_mcconnell,Y,Guard,,,,,5,10,5.8,170,0, ,Marshall,USA,Marshall/USA
77669,"Murphy, Calvin",Calvin Murphy,f,1970,1982,HISTADD_calvin_murphy,Y,Guard,1970,2,,,5,9,5.8,165,12,23,Niagara,USA,Niagara/USA
77677,"Musi, Angelo",Angelo Musi,f,1946,1948,HISTADD_angelo_musi,Y,Guard,,,,,5,9,5.8,145,2,5,Temple,USA,Temple/USA
78001,"Rock, Gene",Gene Rock,f,1947,1947,HISTADD_gene_rock,Y,Guard,,,,,5,9,5.8,155,0,,Southern California,USA,USC/USA
78017,"Rosenberg, Alexander",Alexander Rosenberg,f,1946,1946,HISTADD_petey_rosenberg,Y,Guard,,,,,5,10,5.8,165,0,15,Saint Joseph's,USA,St. Joseph's (PA)/USA
78024,"Rottner, Mickey",Mickey Rottner,f,1946,1947,HISTADD_mickey_rottner,Y,Guard,,,,,5,10,5.8,180,1,,Loyola-Chicago,USA,Loyola (Chicago)/USA
78033,"Royer, Bob",Bob Royer,f,1949,1949,HISTADD_bob_royer,Y,Guard,1949,8,,,5,10,5.8,155,0,,Indiana State,USA,Kansas City CC KS; Indiana State/USA
78043,"Rullo, Jerry",Jerry Rullo,f,1946,1949,HISTADD_jerry_rullo,Y,Guard,,,,,5,10,5.8,165,3,7,Temple,USA,Temple/USA
78051,"Sailors, Kenny",Kenny Sailors,f,1946,1950,HISTADD_kenny_sailors,Y,Guard,,,,,5,10,5.8,175,4,,Wyoming,USA,Wyoming/USA
78112,"Seltz, Rollie",Rollie Seltz,f,1949,1949,HISTADD_rollie_seltz,Y,Guard,,,,,5,10,5.8,165,0,,Hamline,USA,Hamline/USA
78163,"Sinicola, Zeke",Zeke Sinicola,f,1951,1953,HISTADD_zeke_sinicola,Y,Guard,1951,1,,,5,10,5.8,165,1,5,Niagara,USA,Niagara/USA
78276,"Stutz, Stan",Stan Stutz,f,1946,1948,HISTADD_stan_stutz,Y,Guard,,,,,5,10,5.8,170,2,,Rhode Island,USA,Rhode Island/USA
78287,"Sydnor, Wallace",Wallace Sydnor,f,1946,1946,HISTADD_buck_sydnor,Y,Guard,,,,,5,10,5.8,175,0,,Western Kentucky,USA,Western Kentucky/USA
78521,"Wier, Murray",Murray Wier,f,1949,1949,HISTADD_murray_wier,Y,Guard,1948,,,,5,9,5.8,155,0,17,Iowa,USA,Iowa/USA
78612,"Wood, Bob",Bob Wood,f,1949,1949,HISTADD_bob_wood,Y,Guard,,,,,5,10,5.8,,0,,Northern Illinois,USA,Northern Illinois/USA
202738,"Thomas, Isaiah",Isaiah Thomas,t,2011,2018,isaiah_thomas,Y,Guard,2011,2,,,5,9,5.8,185,7,4,Washington,USA,Washington/USA
